nombre,precio_normal,precio_app,precio_tarjeta,imagen_url,detalle_url,categoria,url_base,tienda
Rhino-BB 0.9% Solución Gotas Nasales - Frasco 15 ML FRASCO 15 ML,"6,80",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/342017X.jpg,/producto/rhino-bb-0-9-solucion-gotas-nasales/342017,salud,http://inkafarma.com.pe,inkafarma
Invanz 1g Polvo liofilizado para solución Inyectable CAJA 1 UN,"357,80",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/213008X.jpg,/producto/invanz-1g-solucion-inyectable/213008,salud,http://inkafarma.com.pe,inkafarma
Cephoprom I.M. 1g Polvo y Disolvente para Solución Inyectable FRASCO 1 UN,"11,50",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/078285X.jpg,/producto/cephoprom-polvo-disolvente-solucion-inyectable/078285,salud,http://inkafarma.com.pe,inkafarma
Biolevf 750mg Tabletas recubiertas CAJA 5 UN,"31,10",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/019768X.jpg,/producto/biolevf-750mg-tabletas-recubiertas/019768,salud,http://inkafarma.com.pe,inkafarma
Aciclav 500Mg-125Mg Tableta Recubierta CAJA 14 UN,"47,60",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/015706X.jpg,/producto/aciclav-500mg-125mg-tableta-recubierta/015706,salud,http://inkafarma.com.pe,inkafarma
Dilovet 500 Mg Cápsula BLISTER 10 UN,"15,29",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/005940X.jpg,/producto/dilovet-500-mg-capsula/005940,salud,http://inkafarma.com.pe,inkafarma
Infectrim Balsamico  Suspensión Oral FRASCO 50 ML,"13,30",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/422518X.jpg,/producto/infectrim-balsamico--suspension-oral/422518,salud,http://inkafarma.com.pe,inkafarma
Rocephin IM 1g Polvo y Disolvente para Solución inyectable CAJA 1 UN,"73,80",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/204020X.jpg,/producto/rocephin-1g-polvo-para-inyectable-intramuscular/204020,salud,http://inkafarma.com.pe,inkafarma
Fluixx 600Mg/3G Gránulos Para Solución Oral CAJA 30 UN,"108,80",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/074220X.jpg,/producto/fluixx-600mg-3g-granulos-para-solucion-oral/074220,salud,http://inkafarma.com.pe,inkafarma
Ertapand 1G Polvo Para Solucion Inyectable CAJA 1 UN,"225,50",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/074199X.jpg,/producto/ertapand-1g-polvo-para-solucion-inyectable/074199,salud,http://inkafarma.com.pe,inkafarma
Tetralan Sp 1% Ungüento Oftalmico TUBO 6 GR,"15,10",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/073973X.jpg,/producto/tetralan-sp-1-unguento-oftalmico/073973,salud,http://inkafarma.com.pe,inkafarma
Codeina Fosfato 15Mg/5Ml Jarabe FRASCO 60 ML,"26,00",,,,/producto/codeina-fosfato-15mg-5ml-jarabe/073650,salud,http://inkafarma.com.pe,inkafarma
Clorfenamina 10Mg/1Ml Solucion Inyectable CAJA 100 UN,"113,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/035992X.jpg,/producto/clorfenamina-10mg-1ml-solucion-inyectable/035992,salud,http://inkafarma.com.pe,inkafarma
Prednisona 20 Mg Tableta CAJA 100 UN,"25,10",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/031256X.jpg,/producto/prednisona-20-mg-tableta/031256,salud,http://inkafarma.com.pe,inkafarma
Vick Vaporub Ungüento tópico POTE 100 G,"16,10",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/324070X.jpg,/producto/vick-vaporub-unguento-topico/324070,salud,http://inkafarma.com.pe,inkafarma
Gingisona B Solución para pulverización bucal FRASCO 15 ML,"22,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/261374X.jpg,/producto/gingisona-b-solucion-spray/261374,salud,http://inkafarma.com.pe,inkafarma
Avamys 27.5mcg/Dosis Suspensión en Spray Nasal - Frasco 120 DSS FRASCO 120 DSS,"48,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/428010X.jpg,/producto/avamys-27-5mcg-dosis-suspension-en-spray-nasal/428010,salud,http://inkafarma.com.pe,inkafarma
Vick 44 Jarabe FRASCO 120 ML,"18,30",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/264050X.jpg,/producto/vick-44-jarabe/264050,salud,http://inkafarma.com.pe,inkafarma
Tetralysal 300 Mg Cápsulas - Caja 16 UN BLÍSTER 4 UN,"26,68",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/222105X.jpg,/producto/tetralysal-300-mg-capsulas/222105,salud,http://inkafarma.com.pe,inkafarma
Amoxicilina - Acido clavulanico 500mg /125mg Tabletas recubiertas CAJA 10 UN,"13,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/427491X.jpg,/producto/amoxicilina-500-mgacido-clavulanico-125-mg-tablet/427491,salud,http://inkafarma.com.pe,inkafarma
Ventolin inhalador 100 mcg/dosis Suspensión para Inhalación en envase a presión FRASCO 200 DSS,"19,20",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/283031X.jpg,/producto/ventolin-100-mcg-dosis-aerosol-inhalador/283031,salud,http://inkafarma.com.pe,inkafarma
AB-Broncol NF 1200mg Polvo para Suspensión Inyectable FRASCO 1 UN,"17,70",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/428476X.jpg,/producto/ab-broncol-nf-1200mg-polvo-para-suspension-inyecta/428476,salud,http://inkafarma.com.pe,inkafarma
Symbicort Rapihaler 160 Ug - 4.5Ug/Dosis - Frasco 120 DSS FRASCO 120 DSS,"178,20",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/021084X.jpg,/producto/symbicort-rapihaler-160-ug-4-5ug-dosis/021084,salud,http://inkafarma.com.pe,inkafarma
Monurol 3g Granulado para Solución Oral - Caja 1 UN CAJA 1 UN,"59,60",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/213005X.jpg,/producto/monurol-3g-granulado-para-solucion-oral/213005,salud,http://inkafarma.com.pe,inkafarma
Afrin SP 0.05% Solución para Pulverización Nasal FRASCO 15 ML,"33,20",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/342001X.jpg,/producto/afrin-sp-0-05-solucion-para-pulverizacion-nasal-a/342001,salud,http://inkafarma.com.pe,inkafarma
Zitromax 500mg Tableta Recubierta CAJA 3 UN,"98,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/206044X.jpg,/producto/zitromax-500-mg-tabletas-recubiertas/206044,salud,http://inkafarma.com.pe,inkafarma
"Spiolto Respimat 2,5 µg /2,5 µg Solución para Inhalación FRASCO 30 DSS","309,70",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/011455X.jpg,/producto/spiolto-respimat-5mcg-dosis-solucion-para-inhalaci/011455,salud,http://inkafarma.com.pe,inkafarma
