nombre,precio_normal,precio_app,precio_tarjeta,imagen_url,detalle_url,categoria,url_base,tienda
Vick Vaporub Ungüento tópico POTE 100 G,"16,60",,,,/producto/vick-vaporub-unguento-topico/324070,farmacia,http://mifarma.com.pe,mifarma
Gingisona B Solución para pulverización bucal FRASCO 15 ML,"22,70",,,,/producto/gingisona-b-solucion-spray/261374,salud,http://mifarma.com.pe,mifarma
Vick 44 Jarabe FRASCO 120 ML,"18,80",,,,/producto/vick-44-jarabe/264050,farmacia,http://mifarma.com.pe,mifarma
Afrin SP 0.05% Solución para Pulverización Nasal FRASCO 15 ML,"34,20",,,,/producto/afrin-sp-0-05-solucion-para-pulverizacion-nasal-a/342001,salud,http://mifarma.com.pe,mifarma
Tetralan Sp 1% Ungüento Oftalmico TUBO 6 GR,"15,50",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/073973X.jpg,/producto/tetralan-sp-1-unguento-oftalmico/073973,salud,http://mifarma.com.pe,mifarma
Prednisona 20 Mg Tableta CAJA 100 UN,"26,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/031256X.jpg,/producto/prednisona-20-mg-tableta/031256,salud,http://mifarma.com.pe,mifarma
Clorfenamina 10Mg/1Ml Solucion Inyectable CAJA 100 UN,"116,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/035992X.jpg,/producto/clorfenamina-10mg-1ml-solucion-inyectable/035992,salud,http://mifarma.com.pe,mifarma
Ertapand 1G Polvo Para Solucion Inyectable CAJA 1 UN,"232,20",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/074199X.jpg,/producto/ertapand-1g-polvo-para-solucion-inyectable/074199,salud,http://mifarma.com.pe,mifarma
Codeina Fosfato 15Mg/5Ml Jarabe FRASCO 60 ML,"26,70",,,,/producto/codeina-fosfato-15mg-5ml-jarabe/073650,salud,http://mifarma.com.pe,mifarma
Amikabiot 500 Mg CAJA 3 UN,"105,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/017443X.jpg,/producto/amikabiot-500-mg/017443,salud,http://mifarma.com.pe,mifarma
Aciclav 500Mg-125Mg Tableta Recubierta CAJA 14 UN,"49,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/015706X.jpg,/producto/aciclav-500mg-125mg-tableta-recubierta/015706,salud,http://mifarma.com.pe,mifarma
Infectrim Balsamico  Suspensión Oral FRASCO 50 ML,"13,60",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/422518X.jpg,/producto/infectrim-balsamico--suspension-oral/422518,salud,http://mifarma.com.pe,mifarma
Fluixx 600Mg/3G Gránulos Para Solución Oral CAJA 30 UN,"112,10",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/074220X.jpg,/producto/fluixx-600mg-3g-granulos-para-solucion-oral/074220,salud,http://mifarma.com.pe,mifarma
Cephoprom I.M. 1g Polvo y Disolvente para Solución Inyectable FRASCO 1 UN,"11,80",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/078285X.jpg,/producto/cephoprom-polvo-disolvente-solucion-inyectable/078285,salud,http://mifarma.com.pe,mifarma
Biolevf 750mg Tabletas recubiertas CAJA 5 UN,"32,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/019768X.jpg,/producto/biolevf-750mg-tabletas-recubiertas/019768,salud,http://mifarma.com.pe,mifarma
Rhino-BB 0.9% Solución Gotas Nasales - Frasco 15 ML FRASCO 15 ML,"7,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/342017X.jpg,/producto/rhino-bb-0-9-solucion-gotas-nasales/342017,salud,http://mifarma.com.pe,mifarma
Invanz 1g Polvo liofilizado para solución Inyectable CAJA 1 UN,"368,50",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/213008X.jpg,/producto/invanz-1g-solucion-inyectable/213008,salud,http://mifarma.com.pe,mifarma
Rocephin IM 1g Polvo y Disolvente para Solución inyectable CAJA 1 UN,"76,00",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/204020X.jpg,/producto/rocephin-1g-polvo-para-inyectable-intramuscular/204020,salud,http://mifarma.com.pe,mifarma
Dilovet 500 Mg Cápsula BLISTER 10 UN,"15,80",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/005940X.jpg,/producto/dilovet-500-mg-capsula/005940,salud,http://mifarma.com.pe,mifarma
Avamys 27.5mcg/Dosis Suspensión en Spray Nasal - Frasco 120 DSS FRASCO 120 DSS,"49,40",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/428010X.jpg,/producto/avamys-27-5mcg-dosis-suspension-en-spray-nasal/428010,salud,http://mifarma.com.pe,mifarma
Tetralysal 300 Mg Cápsulas - Caja 16 UN BLÍSTER 4 UN,"27,48",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/222105X.jpg,/producto/tetralysal-300-mg-capsulas/222105,salud,http://mifarma.com.pe,mifarma
Amoxicilina - Acido clavulanico 500mg /125mg Tabletas recubiertas CAJA 10 UN,"13,40",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/427491X.jpg,/producto/amoxicilina-500-mgacido-clavulanico-125-mg-tablet/427491,salud,http://mifarma.com.pe,mifarma
Ventolin inhalador 100 mcg/dosis Suspensión para Inhalación en envase a presión FRASCO 200 DSS,"19,80",,,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/283031X.jpg,/producto/ventolin-100-mcg-dosis-aerosol-inhalador/283031,salud,http://mifarma.com.pe,mifarma
